Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.65,11,28-17,3795,5271,104
Havok,1.18,3,20-17,2510,4239,44
MajorManiak,0.82,-3,14-17,1730,2849,46
Maux,2,12,24-12,3365,3868,115
Nagafen,1.11,2,20-18,2500,4350,72
Totals,1.31,25,106-81,13900,20577,381
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.57,-9,12-21,1640,2933,50
Formal,0.63,-9,15-24,1940,3798,18
John,1.11,2,20-18,2770,3946,42
Ricky,0.75,-5,15-20,2255,2933,60
Slacked,0.83,-4,19-23,2650,3830,51
Totals,0.76,-25,81-106,11255,17440,221
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.38,3,11-8,1325,1858,2:2
Havok,1.14,1,8-7,1125,1358,0:1
MajorManiak,1.4,2,7-5,1150,1425,0:1
Maux,1,0,6-6,1300,2401,1:1
Nagafen,0.83,-1,5-6,900,1495,1:0
Totals,1.16,5,37-32,5800,8537,4:5
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.5,-4,4-8,1025,1327,0:1
Formal,0.5,-4,4-8,400,955,2:3
John,1.71,5,12-7,1675,2108,1:0
Ricky,0.83,-1,5-6,725,1247,0:0
Slacked,0.88,-1,7-8,840,1323,2:0
Totals,0.86,-5,32-37,4665,6960,5:4
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.43,6,20-14,3825,3670,0:0
Havok,1.21,4,23-19,3350,4378,0:2
MajorManiak,1.15,2,15-13,3010,3304,0:1
Maux,1.17,2,14-12,2995,3462,0:0
Nagafen,0.85,-3,17-20,2900,2959,0:1
Totals,1.14,11,89-78,16080,17773,0:4
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.55,-9,11-20,2165,2772,0:0
Formal,1,0,17-17,2375,3878,0:0
John,0.79,-4,15-19,2275,3784,0:0
Ricky,0.59,-7,10-17,1800,2681,1:0
Slacked,1.5,8,24-16,2775,4202,3:0
Totals,0.87,-12,77-89,11390,17317,4:0