Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.22,4,22-18,3855,4747,84
Lacefield,1.79,11,25-14,3640,4928,53
LlamaGod,1.06,1,17-16,3345,3290,53
Parasite,1.88,14,30-16,4425,5607,65
Saints,1.15,3,23-20,3335,4241,52
Totals,1.39,33,117-84,18600,22813,307
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,0.44,-14,11-25,2075,3937,45
Jurd,0.63,-10,17-27,2265,3658,60
Loony,0.67,-8,16-24,2690,3533,62
Nolson,0.79,-4,15-19,2110,4151,19
Temp,1.09,2,24-22,3270,5000,35
Totals,0.71,-34,83-117,12410,20279,221
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.5,-3,3-6,300,682,1:1
Lacefield,1,0,6-6,775,1088,1:1
LlamaGod,0.5,-3,3-6,350,452,0:1
Parasite,0.17,-5,1-6,425,518,0:0
Saints,0.33,-4,2-6,450,573,0:1
Totals,0.5,-15,15-30,2300,3313,2:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,2.67,5,8-3,1075,1389,2:0
Jurd,0.67,-1,2-3,250,627,0:0
Loony,1.67,2,5-3,700,838,1:0
Nolson,4,6,8-2,1200,996,1:1
Temp,1.75,3,7-4,900,1160,0:1
Totals,2,15,30-15,4125,5010,4:2
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.08,2,26-24,3275,5195,0:0
Lacefield,0.86,-3,18-21,2725,3890,1:2
LlamaGod,0.88,-2,15-17,2760,3339,0:0
Parasite,1.22,4,22-18,3490,5390,0:0
Saints,0.84,-4,21-25,2800,4504,0:1
Totals,0.97,-3,102-105,15050,22318,1:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aqua,1.39,7,25-18,3700,5371,1:0
Jurd,0.67,-8,16-24,2725,3591,1:1
Loony,1.11,2,20-18,3250,4416,0:0
Nolson,1.15,3,23-20,3165,5227,0:0
Temp,0.95,-1,21-22,3100,5585,1:0
Totals,1.03,3,105-102,15940,24190,3:1
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.9,-3,28-31,4495,5790,78
Lacefield,0.86,-4,25-29,3280,4790,75
LlamaGod,1.19,4,25-21,4280,5404,105
Parasite,0.8,-5,20-25,3680,5302,93
Saints,1.19,5,32-27,4660,5990,81
Totals,0.98,-3,130-133,20395,27276,432
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aqua,1.04,1,27-26,3575,5487,86
Jurd,0.82,-5,23-28,3305,5130,78
Loony,1.17,4,28-24,4800,5689,55
Nolson,0.89,-3,24-27,3785,4962,44
Temp,1.24,6,31-25,3820,6717,65
Totals,1.02,3,133-130,19285,27985,328