FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.85,0.92,-6,71-77,10375,13624
Cellium,0.84,0.78,-14,51-65,8500,12961
Skrapz,0.78,0.8,-15,61-76,9100,13532
Zer0,0.73,0.89,-7,55-62,8285,12435
Zoomaa,0.73,0.72,-19,49-68,7450,12134
Totals,0.79,0.82,-61,287-348,43710,64686
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.21,1.29,16,72-56,10870,14281
Denz,1.21,1.06,3,54-51,8520,12533
Dylan,1.29,1.28,19,87-68,12590,16594
Wuskin,1.06,1.04,2,57-55,9810,12087
Zed,1.38,1.29,17,76-59,10600,13391
Totals,1.23,1.2,57,346-289,52390,68886
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.85,0.92,-6,71-77,10375,13624
Cellium,0.84,0.78,-14,51-65,8500,12961
Skrapz,0.78,0.8,-15,61-76,9100,13532
Zer0,0.73,0.89,-7,55-62,8285,12435
Zoomaa,0.73,0.72,-19,49-68,7450,12134
Totals,0.79,0.82,-61,287-348,43710,64686
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.21,1.29,16,72-56,10870,14281
Denz,1.21,1.06,3,54-51,8520,12533
Dylan,1.29,1.28,19,87-68,12590,16594
Wuskin,1.06,1.04,2,57-55,9810,12087
Zed,1.38,1.29,17,76-59,10600,13391
Totals,1.23,1.2,57,346-289,52390,68886
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.85,0.92,-6,71-77,10375,13624
Cellium,0.84,0.78,-14,51-65,8500,12961
Skrapz,0.78,0.8,-15,61-76,9100,13532
Zer0,0.73,0.89,-7,55-62,8285,12435
Zoomaa,0.73,0.72,-19,49-68,7450,12134
Totals,0.79,0.82,-61,287-348,43710,64686
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.21,1.29,16,72-56,10870,14281
Denz,1.21,1.06,3,54-51,8520,12533
Dylan,1.29,1.28,19,87-68,12590,16594
Wuskin,1.06,1.04,2,57-55,9810,12087
Zed,1.38,1.29,17,76-59,10600,13391
Totals,1.23,1.2,57,346-289,52390,68886
FaZe Clan,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.85,0.92,-6,71-77,10375,13624
Cellium,0.84,0.78,-14,51-65,8500,12961
Skrapz,0.78,0.8,-15,61-76,9100,13532
Zer0,0.73,0.89,-7,55-62,8285,12435
Zoomaa,0.73,0.72,-19,49-68,7450,12134
Totals,0.79,0.82,-61,287-348,43710,64686
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.21,1.29,16,72-56,10870,14281
Denz,1.21,1.06,3,54-51,8520,12533
Dylan,1.29,1.28,19,87-68,12590,16594
Wuskin,1.06,1.04,2,57-55,9810,12087
Zed,1.38,1.29,17,76-59,10600,13391
Totals,1.23,1.2,57,346-289,52390,68886