LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.62,0.68,-12,26-38,3960,6087
Foncho,0.78,0.66,-13,25-38,3990,5435
Phenom,0.5,0.54,-21,25-46,3765,5357
Pure,0.74,0.65,-16,30-46,4325,7059
Ryza,0.63,0.69,-15,33-48,4605,6972
Totals,0.65,0.64,-77,139-216,20645,30910
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.61,1.47,14,44-30,7270,8580
Denz,2.5,2.77,23,36-13,5830,6227
Dylan,1.28,1.19,7,44-37,8100,9754
Wuskin,1.79,1.87,20,43-23,6945,7062
Zed,1.14,1.28,10,46-36,6840,8707
Totals,1.53,1.53,74,213-139,34985,40330
LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.62,0.68,-12,26-38,3960,6087
Foncho,0.78,0.66,-13,25-38,3990,5435
Phenom,0.5,0.54,-21,25-46,3765,5357
Pure,0.74,0.65,-16,30-46,4325,7059
Ryza,0.63,0.69,-15,33-48,4605,6972
Totals,0.65,0.64,-77,139-216,20645,30910
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.61,1.47,14,44-30,7270,8580
Denz,2.5,2.77,23,36-13,5830,6227
Dylan,1.28,1.19,7,44-37,8100,9754
Wuskin,1.79,1.87,20,43-23,6945,7062
Zed,1.14,1.28,10,46-36,6840,8707
Totals,1.53,1.53,74,213-139,34985,40330
LGND Status GG,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
EFatal,0.62,0.68,-12,26-38,3960,6087
Foncho,0.78,0.66,-13,25-38,3990,5435
Phenom,0.5,0.54,-21,25-46,3765,5357
Pure,0.74,0.65,-16,30-46,4325,7059
Ryza,0.63,0.69,-15,33-48,4605,6972
Totals,0.65,0.64,-77,139-216,20645,30910
Reciprocity,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,1.61,1.47,14,44-30,7270,8580
Denz,2.5,2.77,23,36-13,5830,6227
Dylan,1.28,1.19,7,44-37,8100,9754
Wuskin,1.79,1.87,20,43-23,6945,7062
Zed,1.14,1.28,10,46-36,6840,8707
Totals,1.53,1.53,74,213-139,34985,40330