Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.36,-14,8-22,1705,2791,24
Natshay,0.89,-2,16-18,2820,4001,23
Rizk,0.81,-4,17-21,2740,3768,12
Wailers,0.69,-4,9-13,1300,2774,0
Zeeked,1.17,2,14-12,1910,2540,32
Totals,0.74,-22,64-86,10475,15874,91
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.77,10,23-13,3400,4293,76
Havok,1.14,2,16-14,2730,3074,68
MajorManiak,2.25,10,18-8,2995,3154,131
Maux,0.86,-2,12-14,2180,2794,72
Nagafen,1.07,1,16-15,2710,3247,90
Totals,1.33,21,85-64,14015,16562,437
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.57,-6,8-14,1300,1534,0:0
Natshay,0.79,-3,11-14,1565,2203,1:1
Rizk,0.57,-6,8-14,1525,2049,1:0
Wailers,0.58,-5,7-12,1310,2167,0:0
Zeeked,0.17,-10,2-12,650,1188,0:0
Totals,0.55,-30,36-66,6350,9141,2:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.88,7,15-8,2745,2957,1:0
Havok,0.89,-1,8-9,2075,1678,0:2
MajorManiak,4,15,20-5,3175,3017,0:0
Maux,2.5,9,15-6,1880,2871,0:0
Nagafen,0.89,-1,8-9,1935,1546,0:0
Totals,1.78,29,66-37,11810,12069,1:2
Denial,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,0.45,0.44,-20,16-36,3005,4325
Natshay,0.84,0.84,-5,27-32,4385,6204
Rizk,0.7,0.71,-10,25-35,4265,5817
Wailers,0.63,0.64,-9,16-25,2610,4941
Zeeked,0.62,0.67,-8,16-24,2560,3728
Totals,0.65,0.66,-52,100-152,16825,25015
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.81,1.81,17,38-21,6145,7250
Havok,1.03,1.04,1,24-23,4805,4752
MajorManiak,3.01,2.92,25,38-13,6170,6171
Maux,1.42,1.35,7,27-20,4060,5665
Nagafen,0.99,1,0,24-24,4645,4793
Totals,1.52,1.5,50,151-101,25825,28631