Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.73,0.9,-5,44-49,7175,10853
Aqua,0.76,0.75,-14,41-55,5460,8794
Jurd,0.61,0.71,-16,40-56,6260,10168
Loony,0.83,0.81,-10,43-53,7300,9480
Temp,1.45,1.4,21,73-52,9675,13460
Totals,0.87,0.91,-24,241-265,35870,52755
Denial,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.99,1.04,3,79-76,11680,16398
Bance,1.01,0.99,-1,71-72,11035,13876
Brack,2.15,1.74,46,108-62,14330,21332
Joee,0.69,0.72,-23,58-81,8510,12830
Rated,0.99,0.9,-7,66-73,9815,16459
Totals,1.13,1.05,18,382-364,55370,80895
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.73,0.9,-5,44-49,7175,10853
Aqua,0.76,0.75,-14,41-55,5460,8794
Jurd,0.61,0.71,-16,40-56,6260,10168
Loony,0.83,0.81,-10,43-53,7300,9480
Temp,1.45,1.4,21,73-52,9675,13460
Totals,0.87,0.91,-24,241-265,35870,52755
Denial,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.99,1.04,3,79-76,11680,16398
Bance,1.01,0.99,-1,71-72,11035,13876
Brack,2.15,1.74,46,108-62,14330,21332
Joee,0.69,0.72,-23,58-81,8510,12830
Rated,0.99,0.9,-7,66-73,9815,16459
Totals,1.13,1.05,18,382-364,55370,80895
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.73,0.9,-5,44-49,7175,10853
Aqua,0.76,0.75,-14,41-55,5460,8794
Jurd,0.61,0.71,-16,40-56,6260,10168
Loony,0.83,0.81,-10,43-53,7300,9480
Temp,1.45,1.4,21,73-52,9675,13460
Totals,0.87,0.91,-24,241-265,35870,52755
Denial,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Alex,0.99,1.04,3,79-76,11680,16398
Bance,1.01,0.99,-1,71-72,11035,13876
Brack,2.15,1.74,46,108-62,14330,21332
Joee,0.69,0.72,-23,58-81,8510,12830
Rated,0.99,0.9,-7,66-73,9815,16459
Totals,1.13,1.05,18,382-364,55370,80895