Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.94,-1,17-18,2965,3801,56
General,2.45,16,27-11,3945,4646,164
GodRx,1.61,11,29-18,4515,5064,66
Kismet,1.25,5,25-20,4725,5334,96
Mayhem,1.59,10,27-17,4045,5084,42
Totals,1.49,41,125-84,20195,23929,424
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.65,-8,15-23,2110,3344,52
Classic,0.74,-7,20-27,3050,4504,37
Methodz,0.52,-13,14-27,2115,4467,17
Phantomz,1,0,19-19,2340,4344,9
Saints,0.55,-13,16-29,2440,4006,55
Totals,0.67,-41,84-125,12055,20665,170
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.6,-2,3-5,505,798,0:2
General,0.67,-2,4-6,550,1159,2:1
GodRx,0.56,-4,5-9,850,1750,0:2
Kismet,2.2,6,11-5,1425,1898,0:0
Mayhem,0.86,-1,6-7,925,1873,1:1
Totals,0.91,-3,29-32,4255,7478,3:6
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.17,1,7-6,1160,2077,0:0
Classic,1.4,2,7-5,1185,1912,1:0
Methodz,1.4,2,7-5,850,2134,1:0
Phantomz,0.33,-4,2-6,450,977,1:1
Saints,1.29,2,9-7,1125,1456,3:2
Totals,1.1,3,32-29,4770,8556,6:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.55,6,17-11,2950,3441,2:0
General,1.6,6,16-10,2900,2696,0:1
GodRx,1.27,3,14-11,2450,3357,0:0
Kismet,2.2,12,22-10,3400,3875,0:0
Mayhem,0.63,-6,10-16,1675,2269,0:0
Totals,1.36,21,79-58,13375,15638,2:1
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.87,-2,13-15,2240,3307,0:0
Classic,0.52,-10,11-21,1375,3101,0:2
Methodz,0.56,-8,10-18,1475,3031,1:0
Phantomz,0.73,-3,8-11,1275,2097,0:0
Saints,1,0,14-14,2050,3051,0:0
Totals,0.71,-23,56-79,8415,14587,1:2
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.19,3,19-16,3105,3880,68
General,0.79,-4,15-19,2395,3717,37
GodRx,1.18,3,20-17,2955,3807,46
Kismet,1.86,12,26-14,3790,4696,84
Mayhem,1.13,2,18-16,3570,4355,78
Totals,1.2,16,98-82,15815,20455,313
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.94,-1,17-18,2845,3981,79
Classic,0.69,-8,18-26,2675,3592,42
Methodz,0.84,-3,16-19,2550,4103,39
Phantomz,0.78,-4,14-18,2875,3746,100
Saints,0.94,-1,17-18,2130,4168,57
Totals,0.83,-17,82-99,13075,19590,317