Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.7,-9,21-30,3570,0,41
MajorManiak,0.65,-9,17-26,3075,0,25
Maux,1.14,3,24-21,4270,0,30
Nagafen,0.86,-4,24-28,3990,0,60
SpaceLy,0.64,-9,16-25,3085,0,76
Totals,0.78,-28,102-130,17990,0,232
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.14,3,25-22,4460,0,47
Formal,1.24,5,26-21,3655,0,93
Gunless,1.16,3,22-19,4160,0,70
John,1.5,10,30-20,4280,0,73
Slacked,1.35,7,27-20,4640,0,62
Totals,1.27,28,130-102,21195,0,345
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,1.5,3,9-6,1800,0,1:0
MajorManiak,3,6,9-3,1580,0,1:0
Maux,2.6,8,13-5,2050,0,3:0
Nagafen,0.5,-3,3-6,1280,0,1:2
SpaceLy,0.5,-3,3-6,775,0,0:1
Totals,1.42,11,37-26,7485,0,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.63,-3,5-8,980,0,0:1
Formal,0.75,-2,6-8,950,0,2:3
Gunless,0.43,-4,3-7,650,0,0:1
John,0.88,-1,7-8,1230,0,1:0
Slacked,0.83,-1,5-6,1245,0,0:1
Totals,0.7,-11,26-37,5055,0,3:6
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.64,-10,18-28,3450,0,0:2
MajorManiak,1.08,2,26-24,4100,0,0:0
Maux,0.95,-1,20-21,4575,0,1:0
Nagafen,0.85,-4,23-27,3680,0,0:0
SpaceLy,0.93,-2,25-27,4650,0,0:2
Totals,0.88,-15,112-127,20455,0,1:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.92,-2,23-25,4630,0,0:0
Formal,1.14,3,25-22,4610,0,1:0
Gunless,1.18,4,26-22,4005,0,0:0
John,1.43,10,33-23,5940,0,2:0
Slacked,0.95,-1,19-20,3675,0,1:1
Totals,1.13,14,126-112,22860,0,4:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,1.38,6,22-16,3925,0,111
MajorManiak,1.29,5,22-17,3120,0,37
Maux,1.92,12,25-13,4275,0,72
Nagafen,0.62,-8,13-21,2925,0,54
SpaceLy,1.25,4,20-16,3250,0,114
Totals,1.23,19,102-83,17495,0,388
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.25,4,20-16,3340,0,43
Formal,0.65,-8,15-23,3215,0,19
Gunless,0.81,-4,17-21,2705,0,18
John,0.68,-7,15-22,2335,0,52
Slacked,0.8,-4,16-20,2705,0,54
Totals,0.81,-19,83-102,14300,0,186
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,2.75,7,11-4,1725,0,2:1
MajorManiak,1.2,1,6-5,925,0,2:0
Maux,1,0,4-4,825,0,0:0
Nagafen,1.6,3,8-5,1400,0,0:0
SpaceLy,1.4,2,7-5,900,0,2:2
Totals,1.57,13,36-23,5775,0,6:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.33,-6,3-9,400,0,1:3
Formal,0.86,-1,6-7,800,0,1:1
Gunless,1.17,1,7-6,1025,0,1:2
John,0.25,-6,2-8,575,0,0:0
Slacked,0.67,-2,4-6,710,0,0:0
Totals,0.61,-14,22-36,3510,0,3:6