Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.03,1,31-30,4335,0,74
Aqua,0.93,-2,26-28,4080,0,42
Jurd,1.04,1,26-25,4250,0,42
Loony,1,0,21-21,3915,0,65
Temp,0.86,-3,19-22,4130,0,87
Totals,0.98,-3,123-126,20710,0,310
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1,0,24-24,4280,0,88
Apathy,0.79,-6,22-28,4620,0,57
Assault,0.91,-2,21-23,3665,0,64
Huke,1.12,3,28-25,4295,0,86
Silly,1.29,7,31-24,4990,0,99
Totals,1.02,2,126-124,21850,0,394
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.5,-4,4-8,700,0,0:2
Aqua,1.67,6,15-9,1775,0,3:1
Jurd,1.11,1,10-9,1690,0,1:0
Loony,0.78,-2,7-9,1150,0,1:1
Temp,0.56,-4,5-9,1450,0,0:2
Totals,0.93,-3,41-44,6765,0,5:6
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.75,-2,6-8,1225,0,1:0
Apathy,0.33,-6,3-9,655,0,1:2
Assault,0.63,-3,5-8,825,0,0:2
Huke,2,8,16-8,2075,0,2:1
Silly,1.44,4,13-9,2385,0,2:0
Totals,1.02,1,43-42,7165,0,6:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.12,2,19-17,3115,0,0:0
Aqua,0.8,-4,16-20,3190,0,1:0
Jurd,1.45,9,29-20,4645,0,1:1
Loony,1.6,9,24-15,4130,0,0:0
Temp,1.13,3,27-24,4550,0,0:2
Totals,1.2,19,115-96,19630,0,2:3
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.5,9,27-18,3820,0,0:1
Apathy,0.4,-18,12-30,3615,0,2:0
Assault,0.78,-6,21-27,3675,0,0:0
Huke,0.89,-2,17-19,3600,0,1:1
Silly,0.9,-2,19-21,3400,0,0:0
Totals,0.83,-19,96-115,18110,0,3:2
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.88,-3,22-25,5320,0,138
Aqua,1.2,5,30-25,4640,0,77
Jurd,1.23,5,27-22,4680,0,46
Loony,1.08,2,26-24,4530,0,55
Temp,1.07,2,32-30,5190,0,61
Totals,1.09,11,137-126,24360,0,377
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.52,-16,17-33,3585,0,47
Apathy,1.17,4,28-24,4680,0,83
Assault,0.84,-4,21-25,3955,0,93
Huke,1.43,10,33-23,5065,0,58
Silly,0.84,-5,27-32,4730,0,98
Totals,0.92,-11,126-137,22015,0,379
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.5,-5,5-10,825,0,2:1
Aqua,1.83,5,11-6,1565,0,1:2
Jurd,1.43,3,10-7,1700,0,1:1
Loony,0.67,-2,4-6,975,0,0:0
Temp,1.29,2,9-7,1475,0,2:1
Totals,1.08,3,39-36,6540,0,6:5
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.43,3,10-7,1350,0,1:1
Apathy,0.75,-2,6-8,965,0,1:2
Assault,1.14,1,8-7,1650,0,1:0
Huke,0.5,-5,5-10,925,0,1:3
Silly,1,0,7-7,1230,0,1:0
Totals,0.92,-3,36-39,6120,0,5:6