Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.86,-4,25-29,4650,5246,64
Natshay,1,0,29-29,5115,5702,61
Rizk,1.54,14,40-26,6865,7435,104
Wailers,1.19,4,25-21,4190,6328,58
Zeeked,0.9,-3,26-29,4235,6206,55
Totals,1.08,11,145-134,25055,30917,342
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.73,-8,22-30,3810,4669,76
Dashy,1,0,26-26,4915,5466,108
Karma,1.36,9,34-25,4960,6895,48
Scump,0.85,-5,29-34,5460,5532,88
TJHaly,0.77,-7,23-30,4535,6074,35
Totals,0.92,-11,134-145,23680,28636,355
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.56,-4,5-9,1100,1920,0:1
Natshay,0.67,-3,6-9,700,1445,0:2
Rizk,1.11,1,10-9,1275,2289,3:0
Wailers,0.4,-6,4-10,500,1164,0:0
Zeeked,1.13,1,9-8,1760,1627,3:1
Totals,0.76,-11,34-45,5335,8445,6:4
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.25,2,10-8,1275,2430,2:2
Dashy,2.2,6,11-5,1515,2379,0:0
Karma,0.75,-2,6-8,650,1473,1:3
Scump,0.71,-2,5-7,1320,1021,0:0
TJHaly,1.67,4,10-6,1275,2259,1:1
Totals,1.24,8,42-34,6035,9562,4:6
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,23-23,3675,4445,0:2
Natshay,1,0,20-20,3720,4347,0:0
Rizk,0.81,-4,17-21,4075,4585,1:0
Wailers,1.1,2,23-21,4210,5585,0:0
Zeeked,1.71,12,29-17,4480,4764,1:0
Totals,1.1,10,112-102,20160,23726,2:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.92,-2,22-24,3985,5538,1:1
Dashy,1.13,3,26-23,3385,4922,0:0
Karma,0.44,-15,12-27,2000,3948,0:0
Scump,0.68,-6,13-19,3545,3263,0:1
TJHaly,1.4,8,28-20,4075,5094,1:0
Totals,0.89,-12,101-113,16990,22765,2:2
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.87,-3,20-23,3155,3530,23
Natshay,1.6,9,24-15,3680,4312,21
Rizk,0.83,-3,15-18,2675,3757,3
Wailers,0.5,-9,9-18,2185,3060,37
Zeeked,0.79,-4,15-19,2510,2763,31
Totals,0.89,-10,83-93,14205,17422,115
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.95,-1,18-19,3185,3660,41
Dashy,1.07,1,16-15,3035,4062,61
Karma,1.24,4,21-17,2990,4054,74
Scump,1.27,4,19-15,3190,4092,93
TJHaly,1.06,1,18-17,3190,3868,62
Totals,1.11,9,92-83,15590,19736,331
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,2.17,7,13-6,2035,2655,3:1
Natshay,1.25,2,10-8,1500,1776,1:1
Rizk,1.14,1,8-7,1475,1835,2:2
Wailers,0.86,-1,6-7,1000,1644,0:0
Zeeked,0.5,-4,4-8,1260,976,0:0
Totals,1.14,5,41-36,7270,8886,6:4
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.57,4,11-7,1535,1780,0:1
Dashy,1.29,2,9-7,1390,1731,1:0
Karma,0.56,-4,5-9,650,2023,0:1
Scump,0.56,-4,5-9,1100,1342,1:3
TJHaly,0.44,-5,4-9,925,1192,2:1
Totals,0.83,-7,34-41,5600,8068,4:6