OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.77,10,23-13,3620,4597,58
Dashy,2.14,16,30-14,4675,5303,44
Karma,0.88,-2,15-17,2235,3066,102
Scump,1.42,8,27-19,3975,4722,58
TJHaly,1.4,8,28-20,3640,5135,33
Totals,1.48,40,123-83,18145,22823,295
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.92,-2,24-26,2870,4304,21
Seany,0.82,-4,18-22,2470,3757,35
Tommey,0.38,-18,11-29,1585,3457,1
Wuskin,0.55,-10,12-22,2090,3216,28
Zed,0.72,-7,18-25,2735,4085,47
Totals,0.67,-41,83-124,11750,18819,132
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,2,7,14-7,1800,2570,3:0
Dashy,1.17,1,7-6,900,1480,0:0
Karma,0.67,-3,6-9,650,1140,0:1
Scump,0.44,-5,4-9,940,1615,1:1
TJHaly,1.14,1,8-7,1150,2023,3:1
Totals,1.03,1,39-38,5440,8828,7:3
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.57,-3,4-7,825,1166,0:2
Seany,0.88,-1,7-8,775,1344,1:1
Tommey,1.71,5,12-7,1730,2236,0:1
Wuskin,0.75,-2,6-8,750,1245,0:1
Zed,0.67,-3,6-9,800,1159,2:2
Totals,0.9,-4,35-39,4880,7150,3:7
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.68,-6,13-19,2350,3192,0:0
Dashy,0.94,-1,15-16,2505,3106,1:0
Karma,1.53,8,23-15,3185,4388,0:1
Scump,1.13,2,17-15,3065,3619,1:0
TJHaly,1.18,3,20-17,2425,4002,0:1
Totals,1.07,6,88-82,13530,18307,2:2
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.86,12,26-14,3335,5406,0:0
Seany,0.75,-5,15-20,2200,3458,1:0
Tommey,0.75,-5,15-20,2565,3441,0:0
Wuskin,0.8,-3,12-15,2285,2814,1:0
Zed,0.74,-5,14-19,1875,3172,0:2
Totals,0.93,-6,82-88,12260,18291,2:2
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.03,1,31-30,4910,6850,48
Dashy,1.5,12,36-24,4870,7061,118
Karma,1.15,4,31-27,4200,6467,44
Scump,0.97,-1,28-29,4210,5743,58
TJHaly,1.12,3,28-25,4235,5893,84
Totals,1.14,19,154-135,22425,32014,352
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.28,9,41-32,6080,6907,87
Seany,0.86,-4,25-29,3790,5763,54
Tommey,0.71,-10,24-34,4190,5473,49
Wuskin,0.7,-8,19-27,4110,4703,83
Zed,0.81,-6,26-32,3975,5358,63
Totals,0.88,-19,135-154,22145,28204,336